order_id,customer_id,order_placement_date,on_time,in_full,otif
FMR32103503,789103,01-03-2025,1,0,0
FMR34103403,789103,01-03-2025,1,0,0
FMR32103602,789103,01-03-2025,1,0,0
FMR33103602,789103,01-03-2025,1,0,0
FMR33103401,789103,01-03-2025,1,0,0
FMR34903603,789903,01-03-2025,1,0,0
FMR32903403,789903,01-03-2025,1,0,0
FMR33903601,789903,01-03-2025,1,0,0
FMR32702601,789702,01-03-2025,1,0,0
FMR34702502,789702,01-03-2025,1,0,0
FMR34702602,789702,01-03-2025,1,0,0
FMR33702302,789702,01-03-2025,1,0,0
FMR34601402,789601,01-03-2025,1,0,0
FMR33601303,789601,01-03-2025,1,0,0
FMR32601103,789601,01-03-2025,1,0,0
FMR33301301,789301,01-03-2025,1,0,0
FMR34301602,789301,01-03-2025,1,0,0
FMR32301603,789301,01-03-2025,1,0,0
FMR33203603,789203,01-03-2025,1,0,0
FMR34621103,789621,01-03-2025,1,0,0
FMR33101403,789101,01-03-2025,1,0,0
FMR34102602,789102,01-03-2025,1,0,0
FMR32102602,789102,01-03-2025,1,0,0
FMR33902203,789902,01-03-2025,1,0,0
FMR34201202,789201,01-03-2025,1,0,0
FMR33201602,789201,01-03-2025,1,0,0
FMR33202502,789202,01-03-2025,1,0,0
FMR32202603,789202,01-03-2025,1,0,0
FMR34321602,789321,01-03-2025,1,0,0
FMR33321602,789321,01-03-2025,1,0,0
FMR32402602,789402,01-03-2025,1,0,0
FMR34402202,789402,01-03-2025,1,0,0
FMR32221603,789221,01-03-2025,1,0,0
FMR33221503,789221,01-03-2025,1,0,0
FMR34703602,789703,01-03-2025,1,0,0
FMR33401603,789401,01-03-2025,1,0,0
FMR34622602,789622,01-03-2025,1,0,0
FMR32622502,789622,01-03-2025,1,0,0
FMR32622503,789622,01-03-2025,1,0,0
FMR34622101,789622,01-03-2025,1,0,0
FMR33320501,789320,01-03-2025,1,0,0
FMR34721503,789721,01-03-2025,1,0,0
FMR32721603,789721,01-03-2025,1,0,0
FMR34122402,789122,01-03-2025,1,0,0
FMR33220603,789220,01-03-2025,1,0,0
FMR32220503,789220,01-03-2025,1,0,0
FMR34520301,789520,01-03-2025,1,0,0
FMR32520603,789520,01-03-2025,1,0,0
FMR32501601,789501,01-03-2025,1,0,0
FMR33501401,789501,01-03-2025,1,0,0
FMR32503401,789503,01-03-2025,1,0,0
FMR33503502,789503,01-03-2025,1,0,0
FMR33403501,789403,01-03-2025,1,0,0
FMR34421301,789421,01-03-2025,1,0,0
FMR32421601,789421,01-03-2025,1,0,0
FMR34303602,789303,01-03-2025,1,0,0
FMR32121102,789121,01-03-2025,1,0,0
FMR34121501,789121,01-03-2025,1,0,0
FMR32522303,789522,01-03-2025,1,0,0
FMR33522202,789522,01-03-2025,1,0,0
FMR32420403,789420,01-03-2025,1,0,0
FMR34420303,789420,01-03-2025,1,0,0
FMR32622402,789622,01-03-2025,0,0,0
FMR34201201,789201,01-03-2025,0,0,0
FMR32902601,789902,01-03-2025,0,0,0
FMR32402303,789402,01-03-2025,0,0,0
FMR32203101,789203,01-03-2025,0,0,0
FMR33320202,789320,01-03-2025,0,0,0
FMR34902103,789902,01-03-2025,0,0,0
FMR34721502,789721,01-03-2025,0,0,0
FMR34720402,789720,01-03-2025,0,0,0
FMR33601202,789601,01-03-2025,0,0,0
FMR32903603,789903,01-03-2025,0,0,0
FMR33521201,789521,01-03-2025,0,0,0
FMR34522403,789522,01-03-2025,0,0,0
FMR34522601,789522,01-03-2025,0,0,0
FMR34422403,789422,01-03-2025,0,0,0
FMR33422301,789422,01-03-2025,0,0,0
FMR32422503,789422,01-03-2025,0,0,0
FMR32422302,789422,01-03-2025,0,0,0
FMR32121301,789121,01-03-2025,0,0,0
FMR32121603,789121,01-03-2025,0,0,0
FMR32420602,789420,01-03-2025,0,0,0
FMR33420301,789420,01-03-2025,0,0,0
FMR34520302,789520,01-03-2025,0,0,0
FMR33520502,789520,01-03-2025,0,0,0
FMR34520503,789520,01-03-2025,0,0,0
FMR34520602,789520,01-03-2025,0,0,0
FMR33520601,789520,01-03-2025,0,0,0
FMR32520302,789520,01-03-2025,0,0,0
FMR32421203,789421,01-03-2025,0,0,0
FMR33421203,789421,01-03-2025,0,0,0
FMR32421102,789421,01-03-2025,0,0,0
FMR33421301,789421,01-03-2025,0,0,0
FMR34421601,789421,01-03-2025,0,0,0
FMR32421603,789421,01-03-2025,0,0,0
FMR34122102,789122,01-03-2025,0,0,0
FMR33122402,789122,01-03-2025,0,0,0
FMR33122301,789122,01-03-2025,0,0,0
FMR34122601,789122,01-03-2025,0,0,0
FMR34122303,789122,01-03-2025,0,0,0
FMR32122401,789122,01-03-2025,0,0,0
FMR34422101,789422,01-03-2025,0,1,0
FMR32422401,789422,01-03-2025,0,1,0
FMR32301302,789301,01-03-2025,0,1,0
FMR34301103,789301,01-03-2025,0,1,0
FMR32102202,789102,01-03-2025,0,1,0
FMR33720503,789720,01-03-2025,0,1,0
FMR34720303,789720,01-03-2025,0,1,0
FMR34320102,789320,01-03-2025,0,1,0
FMR33320503,789320,01-03-2025,0,1,0
FMR32320202,789320,01-03-2025,0,1,0
FMR32603203,789603,01-03-2025,0,1,0
FMR33603603,789603,01-03-2025,0,1,0
FMR34603401,789603,01-03-2025,0,1,0
FMR34721103,789721,01-03-2025,0,1,0
FMR33321601,789321,01-03-2025,0,1,0
FMR32321103,789321,01-03-2025,0,1,0
FMR32221402,789221,01-03-2025,0,1,0
FMR33221402,789221,01-03-2025,0,1,0
FMR32202402,789202,01-03-2025,0,1,0
FMR33621102,789621,01-03-2025,0,1,0
FMR34621601,789621,01-03-2025,0,1,0
FMR33621302,789621,01-03-2025,0,1,0
FMR34902102,789902,01-03-2025,0,1,0
FMR34101201,789101,01-03-2025,0,1,0
FMR33101202,789101,01-03-2025,0,1,0
FMR34401402,789401,01-03-2025,0,1,0
FMR33402203,789402,01-03-2025,0,1,0
FMR32601303,789601,01-03-2025,0,1,0
FMR32522301,789522,01-03-2025,0,1,0
FMR33522103,789522,01-03-2025,0,1,0
FMR33521502,789521,01-03-2025,0,1,0
FMR32521302,789521,01-03-2025,0,1,0
FMR32521202,789521,01-03-2025,0,1,0
FMR34121203,789121,01-03-2025,0,1,0
FMR34121303,789121,01-03-2025,0,1,0
FMR33420203,789420,01-03-2025,0,1,0
FMR34420402,789420,01-03-2025,0,1,0
FMR32420102,789420,01-03-2025,0,1,0
FMR33420101,789420,01-03-2025,0,1,0
FMR34420501,789420,01-03-2025,0,1,0
FMR33402303,789402,01-03-2025,1,1,1
FMR33622502,789622,01-03-2025,1,1,1
FMR34221301,789221,01-03-2025,1,1,1
FMR32221303,789221,01-03-2025,1,1,1
